ID,Name,State,Network,-2,-4,-8,-20,-40
391,Cedar Pass,CA,SNTL,40,40,40,40,40
20H06,Cedar Pass,CA,SNTL,40,40,40,40,40
977,Crowder Flat,CA,SNTL,40,40,40,40,40
428,Css Lab,CA,SNTL,40,40,40,40,40
446,Dismal Swamp,CA,SNTL,40,40,40,40,40
20K10,Donner Summit,CA,SNTL,40,40,40,40,40
462,Ebbetts Pass,CA,SNTL,40,40,40,40,40
463,Echo Peak,CA,SNTL,40,40,40,40,40
20L05,Echo Summit,CA,SNTL,40,40,40,40,40
473,Fallen Leaf,CA,SNTL,40,40,40,40,40
20K07,Fordyce Lake,CA,SNTL,40,40,40,40,40
1049,Forestdale Creek,CA,SNTL,40,40,40,40,40
19L02,Freel Bench,CA,SNTL,40,40,40,40,40
20K08,Furnace Flat,CA,SNTL,40,40,40,40,40
508,Hagan's Meadow,CA,SNTL,40,40,40,40,40
518,Heavenly Valley,CA,SNTL,40,40,40,40,40
1050,Horse Meadow,CA,SNTL,40,40,40,40,40
539,Independence Camp,CA,SNTL,40,40,40,40,40
540,Independence Creek,CA,SNTL,40,40,40,40,40
541,Independence Lake,CA,SNTL,40,40,40,40,40
20L04,Lake Lucille,CA,SNTL,40,40,40,40,40
574,Leavitt Lake,CA,SNTL,40,40,40,40,40
19L38,Leavitt Lake,CA,SNTL,40,40,40,40,40
575,Leavitt Meadows,CA,SNTL,40,40,40,40,40
587,Lobdell Lake,CA,SNTL,40,40,40,40,40
633,Monitor Pass,CA,SNTL,40,40,40,40,40
697,Poison Flat,CA,SNTL,40,40,40,40,40
20L03,Richardsons #2,CA,SNTL,40,40,40,40,40
20L01,Rubicon #1                              ,CA,SNTL,40,40,40,40,40
724,Rubicon #2,CA,SNTL,40,40,40,40,40
19L34,Sawmill Ridge,CA,SNTL,40,40,40,40,40
771,Sonora Pass,CA,SNTL,40,40,40,40,40
19L07,Sonora Pass,CA,SNTL,40,40,40,40,40
778,Spratt Creek,CA,SNTL,40,40,40,40,40
20K19,Squaw Valley #2,CA,SNTL,40,40,40,40,40
784,Squaw Valley G.C.,CA,SNTL,40,40,40,40,40
1258,State Line          ,CA,SNTL,40,40,40,40,40
20H01,State Line Am (Ca),CA,SNTL,40,40,40,40,40
1052,Summit Meadow,CA,SNTL,40,40,40,40,40
809,Tahoe City Cross,CA,SNTL,40,40,40,40,40
19M01,Tioga Pass,CA,SNTL,40,40,40,40,40
834,Truckee #2,CA,SNTL,40,40,40,40,40
19L01,"Truckee, Upper",CA,SNTL,40,40,40,40,40
846,Virginia Lakes Ridge,CA,SNTL,40,40,40,40,40
20K17,Ward Creek #2,CA,SNTL,40,40,40,40,40
848,Ward Creek #3,CA,SNTL,40,40,40,40,40
20K02,Webber Lake                             ,CA,SNTL,40,40,40,40,40
20K01,Webber Peak                             ,CA,SNTL,40,40,40,40,40
19L09,Willow Flat,CA,SNTL,40,40,40,40,40
1143,Beaver Spring,AZ,SNTL,40,40,40,40,40
