BasinName,BasinSites,HUCS
UPPER YELLOWSTONE MOUNTAIN,326;09D14;363;365;981;09D01;384;407;10D05;10C13;1105;472;480;10E04;10E01;635;10E19;670;683;696;700;15B24;725;929;754;806;807;816;09D04;837;862;09D17;875;878,1007
UPPER YELLOWSTONE VALLEY,COOP0780;COOP0807;COOP1938;COOP2996;COOP4506;COOP5080;COOP5086;COOP5603;COOP6190;MPRCTT01;COOP6862;COOP6918;COOP7800;COOP9023,1007
UPPER YELLOWSTONE RIVER BASIN,326;09D14;363;365;981;09D01;384;407;10D05;10C13;1105;472;480;10E04;10E01;635;10E19;670;683;696;700;15B24;725;929;754;806;807;816;09D04;837;862;09D17;875;878;COOP0780;COOP0807;COOP1938;COOP2996;COOP4506;COOP5080;COOP5086;COOP5603;COOP6190;MPRCTT01;COOP6862;COOP6918;COOP7800;COOP9023,1007
WIND RIVER (Wyoming),08G02;379;1130;09F20;405;923;09F06;09F07;08G04;525;560;585;08G06;676;09F15;775;786;09F03;822;10F09;826;878,1303020126
SHOSHONE RIVER (Wyoming),350;472;616;806;807;878,10080014
BIGHORN RIVER (Wyoming),309;325;350;358;472;501;560;616;07E24;625;07E27;676;703;07E04;751;806;807;819;07E35;878,1303020126
LITTLE BIGHORN (Wyoming),309;377;07E15,120702
TONGUE RIVER (Wyoming),931;358;377;451;1131;07E15;07E38;751;818;07E13,100901
POWDER RIVER (Wyoming),325;402;501;512;625;07E27;703;1132;07E05;06E01,100902
LOWER YELLOWSTONE MOUNTAIN (Wyoming),309;325;931;350;08G02;358;377;379;1130;09F20;402;405;923;451;09F06;472;09F07;08G04;501;512;525;560;1131;585;616;07E24;08G06;625;07E15;07E27;676;703;07E04;07E38;751;09F15;1132;07E05;06E01;775;786;798;806;807;09F03;818;819;822;10F09;826;07E35;07E13;878,1010
